areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000001,North East,region,20/07/2020,12
E12000001,North East,region,19/07/2020,7
E12000001,North East,region,18/07/2020,4
E12000001,North East,region,17/07/2020,10
E12000001,North East,region,16/07/2020,15
E12000001,North East,region,15/07/2020,16
E12000001,North East,region,14/07/2020,12
E12000001,North East,region,13/07/2020,9
E12000001,North East,region,12/07/2020,2
E12000001,North East,region,11/07/2020,7
E12000001,North East,region,10/07/2020,10
E12000001,North East,region,09/07/2020,18
E12000001,North East,region,08/07/2020,12
E12000001,North East,region,07/07/2020,12
E12000001,North East,region,06/07/2020,11
E12000001,North East,region,05/07/2020,4
E12000001,North East,region,04/07/2020,9
E12000001,North East,region,03/07/2020,8
E12000001,North East,region,02/07/2020,9
E12000001,North East,region,01/07/2020,7
E12000001,North East,region,30/06/2020,11
E12000001,North East,region,29/06/2020,10
E12000001,North East,region,28/06/2020,9
E12000001,North East,region,27/06/2020,14
E12000001,North East,region,26/06/2020,8
E12000001,North East,region,25/06/2020,12
E12000001,North East,region,24/06/2020,11
E12000001,North East,region,23/06/2020,26
E12000001,North East,region,22/06/2020,24
E12000001,North East,region,21/06/2020,4
E12000001,North East,region,20/06/2020,17
E12000001,North East,region,19/06/2020,14
E12000001,North East,region,18/06/2020,23
E12000001,North East,region,17/06/2020,19
E12000001,North East,region,16/06/2020,18
E12000001,North East,region,15/06/2020,31
E12000001,North East,region,14/06/2020,30
E12000001,North East,region,13/06/2020,32
E12000001,North East,region,12/06/2020,40
E12000001,North East,region,11/06/2020,23
E12000001,North East,region,10/06/2020,36
E12000001,North East,region,09/06/2020,39
E12000001,North East,region,08/06/2020,35
E12000001,North East,region,07/06/2020,17
E12000001,North East,region,06/06/2020,28
E12000001,North East,region,05/06/2020,42
E12000001,North East,region,04/06/2020,59
E12000001,North East,region,03/06/2020,51
E12000001,North East,region,02/06/2020,59
E12000001,North East,region,01/06/2020,70
E12000001,North East,region,31/05/2020,46
E12000001,North East,region,30/05/2020,46
E12000001,North East,region,29/05/2020,70
E12000001,North East,region,28/05/2020,49
E12000001,North East,region,27/05/2020,116
E12000001,North East,region,26/05/2020,100
E12000001,North East,region,25/05/2020,59
E12000001,North East,region,24/05/2020,76
E12000001,North East,region,23/05/2020,76
E12000001,North East,region,22/05/2020,95
E12000001,North East,region,21/05/2020,129
E12000001,North East,region,20/05/2020,131
E12000001,North East,region,19/05/2020,122
E12000001,North East,region,18/05/2020,145
E12000001,North East,region,17/05/2020,98
E12000001,North East,region,16/05/2020,126
