observation_date,10ystandardised,snpcompositestandardised
2017-02-01,-1.195223864,1.607188138
2017-03-01,-1.18190537,1.6673961
2017-04-01,-1.218531229,1.707955981
2017-05-01,-1.245168217,1.699703348
2017-06-01,-1.211871982,1.739307198
2017-07-01,-1.215201605,1.781768152
2017-08-01,-1.275134829,1.803866749
2017-09-01,-1.205212734,1.806196387
2017-10-01,-1.188564617,1.846437591
2017-11-01,-1.175246123,1.916942115
2017-12-01,-1.18190537,1.95717233
2018-01-01,-1.075357416,2.034896535
2018-02-01,-1.025413063,2.172762768
2018-03-01,-1.068698169,2.07975306
2018-04-01,-0.998776075,2.077126722
2018-05-01,-1.038731557,2.023127466
2018-06-01,-1.03207231,2.075720148
2018-07-01,-0.995446451,2.133807261
2018-08-01,-1.028742687,2.17698249
2018-09-01,-0.96547984,2.247508992
2018-10-01,-0.932183604,2.295508331
2018-11-01,-0.978798334,2.167993603
2018-12-01,-1.085346287,2.099609929
2019-01-01,-1.105324028,1.928271629
2019-02-01,-1.072027793,1.972314979
2019-03-01,-1.178575746,2.134367693
2019-04-01,-1.145279511,2.188344971
2019-05-01,-1.268475582,2.298035769
2019-06-01,-1.315090311,2.244091457
